epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,581.66,1.09304,0.92657,1.01189,0.75606,0.87275,0.82508,0.49282,1.43512,0.70526,1.36643,0.0002377,0.0002377,0.0002377
79,589.136,0.98151,0.69122,0.9495,0.71934,0.915,0.82161,0.50112,1.37488,0.70043,1.31334,0.0002278,0.0002278,0.0002278
80,596.614,0.93792,0.76606,0.88931,0.73311,0.7109,0.78797,0.48851,1.35021,0.69372,1.29465,0.0002179,0.0002179,0.0002179
81,604.074,0.93655,0.64599,0.93945,0.738,0.9222,0.82131,0.49091,1.35473,0.70515,1.2851,0.000208,0.000208,0.000208
82,611.525,0.96018,0.66783,0.936,0.73128,0.91649,0.82161,0.4912,1.29542,0.70815,1.28003,0.0001981,0.0001981,0.0001981
83,618.973,0.96322,0.65291,0.92895,0.7319,0.91057,0.82199,0.50306,1.34678,0.71161,1.30416,0.0001882,0.0001882,0.0001882
84,626.447,1.01225,0.69492,0.94394,0.73297,0.91867,0.82405,0.50848,1.35304,0.68992,1.30167,0.0001783,0.0001783,0.0001783
85,633.895,0.97262,0.68683,0.9633,0.71064,0.91996,0.83005,0.5077,1.34624,0.67886,1.29315,0.0001684,0.0001684,0.0001684
86,641.358,0.97352,0.66761,0.93182,0.7308,0.92655,0.83012,0.51049,1.35965,0.66512,1.29178,0.0001585,0.0001585,0.0001585
87,648.839,0.90971,0.65232,0.93688,0.70809,0.92959,0.82763,0.50345,1.37816,0.68531,1.28963,0.0001486,0.0001486,0.0001486
88,656.335,0.94238,0.64001,0.91168,0.7412,0.89624,0.82577,0.50606,1.40864,0.6883,1.28573,0.0001387,0.0001387,0.0001387
89,663.85,1.00868,0.69282,0.94886,0.74192,0.91207,0.83062,0.51205,1.41594,0.6933,1.29697,0.0001288,0.0001288,0.0001288
90,671.337,0.87595,0.63009,0.91849,0.74328,0.9127,0.82853,0.515,1.37373,0.68697,1.30074,0.0001189,0.0001189,0.0001189
91,688.974,0.93356,0.69248,0.92728,0.7484,0.91431,0.82349,0.49331,1.37679,0.67818,1.31872,0.000109,0.000109,0.000109
92,696.403,0.92947,0.69843,0.95856,0.74689,0.92145,0.82223,0.51567,1.40554,0.66918,1.32811,9.91e-05,9.91e-05,9.91e-05
93,703.806,0.96636,0.68089,0.93088,0.74222,0.92217,0.82203,0.4917,1.42617,0.65657,1.32296,8.92e-05,8.92e-05,8.92e-05
94,711.247,0.88937,0.66877,0.92644,0.72918,0.92307,0.82263,0.48926,1.43006,0.65385,1.31822,7.93e-05,7.93e-05,7.93e-05
95,718.679,0.88618,0.64452,0.90592,0.73456,0.91861,0.82322,0.51607,1.41723,0.64877,1.31253,6.94e-05,6.94e-05,6.94e-05
96,726.152,0.91553,0.65626,0.93499,0.72945,0.9225,0.82282,0.50685,1.41489,0.64985,1.32271,5.95e-05,5.95e-05,5.95e-05
97,733.592,0.89953,0.69812,0.93687,0.72998,0.92197,0.82297,0.50299,1.42053,0.66003,1.3264,4.96e-05,4.96e-05,4.96e-05
98,741.042,0.98676,0.76609,0.96634,0.73096,0.92274,0.81938,0.47393,1.43243,0.66876,1.33999,3.97e-05,3.97e-05,3.97e-05
99,748.478,0.87277,0.66973,0.91161,0.73673,0.91642,0.82064,0.47613,1.43819,0.67266,1.34563,2.98e-05,2.98e-05,2.98e-05
100,755.92,0.89503,0.8328,0.92493,0.73636,0.92183,0.81589,0.4751,1.44146,0.6693,1.33781,1.99e-05,1.99e-05,1.99e-05
